09:32:46:042649, onepos_HLK_3, 40:d6:3c:00:06:1d, -67
09:32:46:241975, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:32:46:317267, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:46:653844, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:32:46:661861, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
09:32:46:775808, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:47:152318, onepos_HLK_2, 40:d6:3c:00:04:e1, -74
09:32:47:215692, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:47:300475, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:47:476392, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:47:633717, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:47:710617, onepos_HLK_2, 40:d6:3c:00:04:e1, -74
09:32:47:771981, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:47:840297, onepos_HLK_7, 40:d6:3c:00:06:1e, -82
09:32:47:856101, onepos_HLK_2, 40:d6:3c:00:04:e1, -76
09:32:47:949495, onepos_HLK_8, 40:d6:3c:00:05:49, -81
09:32:48:063962, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:32:48:289975, onepos_HLK_7, 40:d6:3c:00:06:1e, -80
09:32:48:567756, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:48:630220, onepos_HLK_2, 40:d6:3c:00:04:e1, -85
09:32:48:715384, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:48:829703, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:49:151084, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:49:176041, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:32:49:319747, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:49:388310, onepos_HLK_7, 40:d6:3c:00:06:1e, -78
09:32:49:500144, onepos_HLK_2, 40:d6:3c:00:04:e1, -83
09:32:49:824635, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:49:863597, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:50:009023, onepos_HLK_8, 40:d6:3c:00:05:49, -80
09:32:50:110637, onepos_HLK_7, 40:d6:3c:00:06:1e, -82
09:32:50:159184, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:32:50:215164, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:50:321121, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:50:773191, onepos_HLK_2, 40:d6:3c:00:04:e1, -83
09:32:50:884751, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:32:50:978726, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:51:100749, onepos_HLK_2, 40:d6:3c:00:04:e1, -77
09:32:51:497541, onepos_HLK_2, 40:d6:3c:00:04:e1, -83
09:32:51:625364, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:51:637296, onepos_HLK_1, 40:d6:3c:00:04:a0, -70
09:32:51:713827, onepos_HLK_2, 40:d6:3c:00:04:e1, -74
09:32:51:739375, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:32:51:930322, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
